time,open,high,low,close,Fast MA,Slow MA,ADX & +DI > -DI,ADX & +DI < -DI,BB Upper,BB Basis,BB Lower,Long Expansion,Short Expansion,LinReg,UpperBand,LowerBand,Long,Short,GMA fast,GMA slow,Bullish cross,Bearish cross,Plot,Final Newton value,Long Expansion,Short Expansion,Compression Score,Overbought z (eff),Oversold z (eff),z20,z50,z100,z200,Composite Z (smoothed),Long setup,Short setup,Dyn OB,Dyn OS,QAO,Buy,Sell,QVI Osc,Zero,Upper Band,Lower Band,VWMA spread (z by default),Buy,Sell,Climax Up,Climax Down,Churn,Bulls,Bears,Bias / Sentiment,Volume Band (Open),Volume Band (High,Volume Band (Low),Volume Band (Close),Price Band (Open),Price Band (High,Price Band (Low),Price Band (Close),Normalized Vol,Normalized Price,RROF Smooth,Signal Line,EoM +ve,EoM -ve,Compression +ve,Compression -ve
1757188800,110060.61,110314.34,110044.6,110212.6,NaN,NaN,0,0,112679.21039106627,110979.23349999965,109279.25660893304,0,0,109120.05982644626,114320.38841260616,103919.73124028636,0,0,110975.98736198441,110048.88300012687,0,0,110768.98609027977,110056.4009999999,0,0,68.03161799478892,1.9149972222961251,-1.9149972222961251,0.01049662228351925,0.5859373392411573,0.6757035169756053,0.14608066067278552,0.4359724338297751,0,0,52.40011846831874,-60.20588539453706,-10.307479428366262,0,0,-1.9357170416826919,0,0.8434541070205157,-0.8434541070205157,-0.27153179902822294,0,0,0,0,0,6.0849787591086555,16.24541377508874,-12.618396373820987,0,12.5,0,12.5,12.5,26.45530474817803,12.5,26.45530474817803,25,27.910609496356056,-45.78357944459764,-31.061061051180566,NaN,NaN,NaN,NaN
1757203200,110214.21,110758.69,110200.01,110641.71,NaN,NaN,0,0,112502.16918726105,110899.30999999966,109296.45081273827,0,0,109138.61045179062,114326.75189354608,103950.46901003516,0,0,110896.4244913195,110097.72600180726,0,0,110756.86455787218,110756.86455787218,0,0,72.55747566406113,1.8934497780824824,-1.8934497780824824,0.3397603498279857,0.8501493038714477,0.9503948040165338,0.4192901185218391,0.5028102567413497,0,0,52.40011846831874,-56.38316077139622,15.446849894371573,0,0,-2.0410131787030203,0,0.8611864943095692,-0.8611864943095692,0.11732725141447506,0,0,0,0,0,6.125616236180239,13.567994909208641,-12.323599219032092,0,12.5,0,12.5,12.5,44.330904942458616,12.5,44.330904942458616,25,63.66180988491723,-36.588050804690944,-35.2071349199075,0,NaN,NaN,NaN
1757217600,110641.71,110926.06,110476.93,110766.84,NaN,NaN,0,0,112404.16436799412,110849.83149999965,109295.49863200518,0,0,109161.35224517896,114335.58669601264,103987.11779434528,0,0,110847.1190364354,110145.73771622077,0,0,110757.81459997958,110757.81459997958,0,0,75.8620711653639,1.871131918919262,-1.871131918919262,0.42469514805826813,0.915438780123594,1.0277876945249136,0.5118563786851863,0.5747178530875241,0,0,52.40011846831874,-56.22187423071592,20.196584341200484,0,0,-2.0781107034362964,0,0.8797662597558609,-0.8797662597558609,0.23090654065235472,0,0,0,0,0,6.281106166582415,10.12848477196164,-10.883863564973801,0,12.5,0,12.5,12.5,25.027843462312568,12.5,25.027843462312568,25,25.05568692462513,-21.720426335593093,-32.45856979095773,NaN,NaN,NaN,NaN
1757232000,110768.76,111389.94,110718.09,111303.16,NaN,NaN,0,0,112416.27431921306,110855.88299999965,109295.49168078625,0,0,109199.14931542706,114360.99624081478,104037.30239003933,0,0,110853.14918478903,110203.26689583989,0,0,110809.75225712439,110809.75225712439,0,0,78.03520224934861,1.8571782389889382,-1.8571782389889382,0.7906651723265986,1.2233037302435381,1.3474448746741607,0.8403047413214261,0.7316530016585496,0,0,52.40011846831874,-54.92196721246947,43.35926399109133,0,0,-1.9817202689206916,0,0.8953453579845112,-0.8953453579845112,0.61613528063186,0,0,0,0,0,7.185718439631414,7.536238427612719,-8.078126859903685,0,12.5,0,12.5,12.5,48.62006092097925,12.5,48.62006092097925,25,72.2401218419585,-1.3167224380178386,-22.13208482240895,0,NaN,NaN,NaN
1757246400,111303.15,111403.23,111022.71,111324.58,NaN,NaN,0,0,112461.25988310008,110897.76499999966,109334.27011689925,0,0,109259.06139669412,114428.03108755921,104090.09170582902,0,0,110895.01942144649,110259.53472042723,0,0,110858.78347073159,110858.78347073159,0,0,80.05926779134097,1.8366292585667425,-1.8366292585667425,0.7575729763407766,1.205317391927935,1.3505908850756152,0.8746133478515907,0.8384607067918634,0,0,52.40011846831874,-54.92196721246947,37.55961222508248,0,0,-1.8224839594468367,0,0.9102335252496409,-0.9102335252496409,0.6073535759915142,0,0,0,0,0,7.733513600194551,5.4802307595447495,-6.079241850210839,0,12.5,0,12.5,12.5,26.205096269137634,12.5,26.205096269137634,25,27.410192538275265,17.955567375170148,-6.640667529131963,NaN,NaN,NaN,NaN
1757260800,111324.58,111362.09,110862.83,111257.49,NaN,NaN,0,0,112489.45134572926,110918.42749999967,109347.40365427008,0,0,109321.40733471059,114496.48413087262,104146.33053854856,0,0,110915.65486779441,110311.19512303385,0,0,110896.75552113811,110896.75552113811,0,0,80.96713389567049,1.8228992010675877,-1.8228992010675877,0.6660888268178595,1.1362793806734635,1.3023696365186987,0.8587942485663678,0.8946018008196669,0,0,52.40011846831874,-54.92196721246947,29.874954868089375,0,0,-1.6903026192230255,0,0.9242062572535149,-0.9242062572535149,0.5472680243119894,0,0,0,0,0,7.693344646386638,4.08240163716592,-4.912316062929183,0,12.5,0,12.5,12.5,17.358949603420058,12.5,17.358949603420058,25,9.717899206840118,31.570509106816115,9.713049616322033,NaN,NaN,0,NaN
1757275200,111257.48,111600,110994.41,111129.61,NaN,NaN,0,0,112431.87026120067,110999.64199999964,109567.41373879861,0,0,109380.34137603301,114556.57691215236,104204.10583991367,0,0,110997.34128895581,110356.60096849906,0,0,110918.93213817257,110918.93213817257,0,0,84.6502336145019,1.8174217119207436,-1.8174217119207436,0.5410993557610986,1.0351220825326122,1.2196999062286593,0.8064403254860055,0.9054013458120158,0,0,52.40011846831874,-54.92196721246947,20.530919324451148,0,0,-1.4164571283128558,0,0.9341777450661031,-0.9341777450661031,0.3180701433138847,0,0,0,0,0,6.9667215319672415,4.531690314777992,-7.021383700260965,0,30,0,30,30,44.28601602976195,30,44.28601602976195,60,-28.57203205952391,21.636848365032858,17.598607277754027,NaN,NaN,NaN,0
1757289600,111120.38,111353.43,110600,111040.91,NaN,NaN,0,0,112385.11904075908,111061.27199999962,109737.42495924016,0,0,109414.78979063353,114563.42475321618,104266.15482805087,0,0,111059.30887523359,110400.73808935644,0,0,110930.54907739423,110930.54907739423,0,0,86.90845014058428,1.8185079394571722,-1.8185079394571722,0.45111164038832624,0.9589835937338134,1.1545770361160221,0.7644552746642349,0.892138982861957,0,0,52.40011846831874,-54.01000517618405,14.716724648189029,0,0,-1.160284623291525,0,0.9408080394510501,-0.9408080394510501,0.15624145613963913,0,0,0,0,0,5.98807721994656,4.843732295151329,-9.141092313364313,0,35,0,35,35,37.849585654937854,35,37.849585654937854,70,-5.699171309875708,10.540185677429974,17.903617432003475,NaN,NaN,NaN,0
1757304000,111040.89,111600,110884.74,111264.76,NaN,NaN,0,0,112405.55357576818,111088.47049999963,109771.38742423108,0,0,109460.78222451799,114586.97350940717,104334.5909396288,0,0,111086.52706841115,110449.64446797039,0,0,110962.37868907097,110962.37868907097,0,0,89.07922507029214,1.8176839659501227,-1.8176839659501227,0.5909006723970716,1.071109059448048,1.2761632924542468,0.9112361236298243,0.9273637315687318,0,0,52.40011846831874,-54.01000517618405,22.167325503633606,0,0,-0.9478277678932476,0,0.9451614837697648,-0.9451614837697648,0.289595647773313,0,0,0,0,0,6.714428206576635,4.411694254224943,-7.302165875383342,0,30,0,30,30,46.07473070631621,30,46.07473070631621,60,32.14946141263242,20.13658677873568,19.256720485819947,NaN,NaN,NaN,NaN
1757318400,111264.76,112195.49,111236.12,112038.45,NaN,NaN,0,0,112503.0316676654,111124.70199999963,109746.37233233385,0,0,109542.62030165292,114667.6956447818,104417.54495852404,0,0,111122.57325319047,110505.80236207787,0,0,111064.86167106421,111064.86167106421,0,0,89.53961253514606,1.8239959640079082,-1.8239959640079082,1.1021844922462067,1.4955580488639024,1.7096092446504092,1.3858582336231573,1.1036786990774812,0,0,52.65682192690959,-54.01000517618405,52.76928505146103,0,0,-0.5654798126155607,0,0.9466562229674738,-0.9466562229674738,0.8039915896913741,0,0,0,0,0,13.266866540587138,3.441548586948071,4.609455714832767,0,45,0,45,45,85.24767821581618,45,85.24767821581618,90,80.49535643163236,50.03934881986652,29.147190272229803,NaN,NaN,NaN,NaN
1757332800,112038.45,112940.84,111866.48,112634.02,NaN,NaN,0,0,112404.44865804212,111108.34899999962,109812.24934195713,0,0,109616.2131873277,114706.61735611741,104525.80901853798,0,0,111106.46424200236,110584.11179934358,0,0,111214.30532143905,110590.2993999999,0,0,93.20730626757303,1.8374320007149318,-1.8374320007149318,1.4285397468566128,1.7832392471757053,2.001658305285442,1.7165375822910467,1.3249559316100628,0,0,52.76928505146103,-53.00375872172731,64.44987753728628,0,0,-0.01669454921623964,0,0.9465772545516684,-0.9465772545516684,1.165528917087435,0,0,0,0,0,21.97996717496692,2.7267511026465896,19.365300065469967,0,50,0,50,50,81.43817252571523,50,81.43817252571523,100,62.876345051430455,73.26413550678578,44.64033685796632,NaN,NaN,NaN,NaN
1757347200,112634.02,112687.25,112000,112107.76,NaN,NaN,0,0,112349.48520291824,111096.23049999964,109842.97579708105,0,0,109661.5181694213,114683.47595400832,104639.56038483427,0,0,111094.46759070895,110658.92604324571,0,0,111299.39624320676,111299.39624320676,0,0,95.14531980045318,1.8413628921669871,-1.8413628921669871,0.9348443935821156,1.4115682634598252,1.6490022253283385,1.3796259035768628,1.3494852410804472,0,0,52.76928505146103,-49.18596638393483,33.691865700668686,0,0,0.2519263864705493,0,0.9467349286367454,-0.9467349286367454,0.7527667852426287,0,0,0,0,1,25.002171375009326,8.75411780741336,18.062832807534488,0,50,0,50,50,85.77354376259336,50,85.77354376259336,100,-71.54708752518671,52.83353327345852,50.5437076059291,NaN,NaN,NaN,NaN
